4,1,130
5,2,131
5,1,122
6,1,77
6,2,84
6,3,93
7,1,61
7,4,78
7,2,57
7,3,74
8,1,36
8,2,47
8,3,36
8,4,52
8,5,63
9,6,48
9,2,27
10,7,43
10,6,36
13,10,30
14,11,34
15,12,38
17,14,29
34,31,35
36,33,34
75,72,28
90,87,29
100,97,56
119,61,49
119,63,35
134,40,39
143,27,55
145,25,47
153,10,51
154,7,46
156,153,40
156,4,88
163,10,41
164,10,40
165,10,67
212,170,106
219,166,31
223,220,78
223,219,92
224,220,77
225,220,149
226,223,45
227,155,68
227,6,35
228,6,29
228,155,62
229,164,41
229,165,47
229,163,31
230,10,78
230,165,40
231,228,42
231,227,28
234,231,35
245,24,54
248,25,32
249,29,46
251,30,26
252,139,40
254,31,26
254,138,60
255,34,62
262,41,63
264,41,40
264,42,73
265,43,48
267,46,46
271,47,42
276,55,35
276,53,76
278,56,83
280,56,107
282,60,70
286,61,50
287,64,107
301,297,30
302,298,30
348,344,26
377,70,50
418,149,30
420,152,70
421,152,130
424,227,58
425,227,37
